SKU	Date	OpenStock	CloseStock	Sales	HasRecord	ReceiptHour	PromoCode	PromoName	Price	ProductName
31054	2025-08-27	79	74	5	1	NULL	-2533|-2644	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo Dầu gạo Tsuno nguyên chất 1.5kg (1636ml) và Nước hầm xương cô đặc cao cấp Kouki 1kg	258017.326732673	Rice bran oil 1500g
31054	2025-08-28	74	122	2	1	18:08	-2533|-2644	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo Dầu gạo Tsuno nguyên chất 1.5kg (1636ml) và Nước hầm xương cô đặc cao cấp Kouki 1kg	258017.326732673	Rice bran oil 1500g
31054	2025-08-29	122	120	2	1	NULL	-2533|-2644	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo Dầu gạo Tsuno nguyên chất 1.5kg (1636ml) và Nước hầm xương cô đặc cao cấp Kouki 1kg	258017.326732673	Rice bran oil 1500g
31054	2025-08-30	120	118	2	1	NULL	-2533|-2644	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo Dầu gạo Tsuno nguyên chất 1.5kg (1636ml) và Nước hầm xương cô đặc cao cấp Kouki 1kg	258017.326732673	Rice bran oil 1500g
31054	2025-08-31	118	116	2	1	NULL	-2533|-2644	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo Dầu gạo Tsuno nguyên chất 1.5kg (1636ml) và Nước hầm xương cô đặc cao cấp Kouki 1kg	258017.326732673	Rice bran oil 1500g
31054	2025-09-01	116	112	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-02	112	107	5	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-03	107	105	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-04	105	104	1	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-05	104	100	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-06	100	96	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-07	96	90	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-08	90	88	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-09	88	83	5	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-10	83	67	16	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-11	67	61	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-12	61	57	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-13	57	49	8	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-14	49	43	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-15	43	91	2	1	16:50	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-16	91	85	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
